pipeline_id,pipeline_type,date_created,data_shortname,data_name,data_description,data_url,data_uuid,data_availability
f635934a,data,2022-04-22,federal_marine_bioregions,Federal Marine Bioregions,The spatial planning framework for Canada's national network of Marine Protected Areas (MPAs) is comprised of 13 ecologically defined bioregions that cover Canada's oceans and the Great Lakes., https://open.canada.ca/data/en/dataset/23eb8b56-dac8-4efc-be7c-b8fa11ba62e9,23eb8b56-dac8-4efc-be7c-b8fa11ba62e9,open
750b39f9,data,2022-04-25,maritimes_grid,Maritimes cumulative effects assessment study area grid,Gridded study area used jointly with N. Kelly and G. Murphy for the Maritimes region cumulative effects assessment,NA,NA,on demand
f2109e69,data,2022-04-26,fisheries_logbooks,Commercial fisheries logbooks,A compilation of landing data from Zonal Interchange File Format (ZIFF) data between 2000 and 2020,NA,NA,data sharing agreement
35608fef,data,2022-04-26,cancoast,CanCoast - Coastal Materials Version 2.0,CanCoast 2.0: data and indices to describe the sensitivity of Canada's marine coasts to changing climate,https://open.canada.ca/data/en/dataset/73714ed4-a795-a7ae-7e93-36100ce7c242,73714ed4-a795-a7ae-7e93-36100ce7c242,open
06230ea3,data,2022-04-26,marine_seismic,Canadian National Marine Seismic Data Repository,"The Geological Survey of Canada (Atlantic and Pacific) has collected marine survey field records on marine expeditions for over 50 years. This release makes available the results of an ongoing effort to scan and convert our inventory of analog marine survey field records (seismic, sidescan and sounder) to digital format.",https://ouvert.canada.ca/data/fr/dataset/e1fa0090-4b06-e476-5c71-e2326666a4d0,e1fa0090-4b06-e476-5c71-e2326666a4d0,open
804db12e,data,2022-04-26,contaminated_sites,Federal Contaminated Sites Inventory,"The Federal Contaminated Sites Inventory includes information on all known federal contaminated sites under the custodianship of departments, agencies and consolidated Crown corporations as well as those that are being or have been investigated to determine whether they have contamination arising from past use that could pose a risk to human health or the environment. The inventory also includes non-federal contaminated sites for which the Government of Canada has accepted some or all financial responsibility. It does not include sites where contamination has been caused by, and which are under the control of, enterprise Crown corporations, private individuals, firms or other levels of government.",https://open.canada.ca/data/en/dataset/1d42f7b9-1549-40aa-8ac6-0e0302ff2902,1d42f7b9-1549-40aa-8ac6-0e0302ff2902,open
4b72884d,data,2022-04-26,marine_disposal_sites,Active and Inactive Disposal at Sea Sites,The Active and Inactive Disposal at Sea Sites in Canadian Waters dataset provides spatial and related information of at-sea disposal sites approved for use in Canada in the last ten years and that remain open for consideration for additional use.,https://open.canada.ca/data/en/dataset/da99526e-284f-4e06-8d04-193785cd1a96,da99526e-284f-4e06-8d04-193785cd1a96,open
68609420,data,2022-04-26,atlantic_shoreline,Atlantic Shoreline Classification,"The Atlantic dataset is part of Environment and Climate Change Canada�s Shoreline Classification and Pre-Spill database. Shoreline classification data has been developed for use by the Environmental Emergencies Program of Environment and Climate Change Canada for environmental protection purposes. Marine and estuarine shorelines are classified according to the character (substrate and form) of the upper intertidal (foreshore) or upper swash zone (Sergy, 2008).",https://ouvert.canada.ca/data/fr/dataset/ba580518-59e8-4d1c-b3ef-41d2658e6965,ba580518-59e8-4d1c-b3ef-41d2658e6965,open
084860fd,data,2022-04-26,carms_checklist,WoRMS North-West Atlantic species checklist,CaRMS and WoRMS species list for the North-West Atlantic area of interest,http://www.marinespecies.org/carms/aphia.php?p=checklist&action=search&gu_id=8048&tRank=220&inc_sub=1&status=pv,NA,open
